,level,first word,count
0,위험도 0,<DATE>,331771
1,위험도 0,type=SYSCALL,0
2,위험도 0,level,1519
3,위험도 0,ossec:,0
4,위험도 0,File,0
5,위험도 0,System,0
6,위험도 0,error:,459
7,위험도 0,type=AVC,0
8,위험도 0,oscap:,0
9,위험도 0,E:,297
10,위험도 0,<YEAR>,0
11,위험도 0,NTFS,0
12,위험도 0,Trojaned,0
13,위험도 0,Windows,0
14,위험도 0,--MARK--:,12
15,위험도 0,The,0
16,위험도 0,juniper,4
17,위험도 0,OpenSCAP,3
18,위험도 0,type=USER_AVC,0
19,위험도 1,<DATE>,14051
20,위험도 1,type=SYSCALL,116496
21,위험도 1,level,736
22,위험도 1,ossec:,29
23,위험도 1,File,0
24,위험도 1,System,820
25,위험도 1,error:,0
26,위험도 1,type=AVC,369
27,위험도 1,oscap:,0
28,위험도 1,E:,0
29,위험도 1,<YEAR>,0
30,위험도 1,NTFS,0
31,위험도 1,Trojaned,0
32,위험도 1,Windows,13
33,위험도 1,--MARK--:,0
34,위험도 1,The,0
35,위험도 1,juniper,0
36,위험도 1,OpenSCAP,0
37,위험도 1,type=USER_AVC,3
38,위험도 2,<DATE>,1
39,위험도 2,type=SYSCALL,0
40,위험도 2,level,0
41,위험도 2,ossec:,0
42,위험도 2,File,0
43,위험도 2,System,0
44,위험도 2,error:,0
45,위험도 2,type=AVC,0
46,위험도 2,oscap:,0
47,위험도 2,E:,0
48,위험도 2,<YEAR>,0
49,위험도 2,NTFS,0
50,위험도 2,Trojaned,0
51,위험도 2,Windows,0
52,위험도 2,--MARK--:,0
53,위험도 2,The,11
54,위험도 2,juniper,0
55,위험도 2,OpenSCAP,0
56,위험도 2,type=USER_AVC,0
57,위험도 3,<DATE>,3719
58,위험도 3,type=SYSCALL,0
59,위험도 3,level,11
60,위험도 3,ossec:,0
61,위험도 3,File,181
62,위험도 3,System,0
63,위험도 3,error:,0
64,위험도 3,type=AVC,0
65,위험도 3,oscap:,198
66,위험도 3,E:,0
67,위험도 3,<YEAR>,31
68,위험도 3,NTFS,0
69,위험도 3,Trojaned,0
70,위험도 3,Windows,0
71,위험도 3,--MARK--:,0
72,위험도 3,The,0
73,위험도 3,juniper,1
74,위험도 3,OpenSCAP,0
75,위험도 3,type=USER_AVC,0
76,위험도 4,<DATE>,10
77,위험도 4,type=SYSCALL,0
78,위험도 4,level,0
79,위험도 4,ossec:,0
80,위험도 4,File,0
81,위험도 4,System,0
82,위험도 4,error:,0
83,위험도 4,type=AVC,0
84,위험도 4,oscap:,0
85,위험도 4,E:,0
86,위험도 4,<YEAR>,0
87,위험도 4,NTFS,0
88,위험도 4,Trojaned,0
89,위험도 4,Windows,0
90,위험도 4,--MARK--:,0
91,위험도 4,The,0
92,위험도 4,juniper,0
93,위험도 4,OpenSCAP,0
94,위험도 4,type=USER_AVC,0
95,위험도 5,<DATE>,16
96,위험도 5,type=SYSCALL,0
97,위험도 5,level,65
98,위험도 5,ossec:,1289
99,위험도 5,File,641
100,위험도 5,System,0
101,위험도 5,error:,0
102,위험도 5,type=AVC,0
103,위험도 5,oscap:,168
104,위험도 5,E:,0
105,위험도 5,<YEAR>,0
106,위험도 5,NTFS,25
107,위험도 5,Trojaned,15
108,위험도 5,Windows,0
109,위험도 5,--MARK--:,0
110,위험도 5,The,0
111,위험도 5,juniper,0
112,위험도 5,OpenSCAP,0
113,위험도 5,type=USER_AVC,0
114,위험도 6,<DATE>,8
115,위험도 6,type=SYSCALL,0
116,위험도 6,level,0
117,위험도 6,ossec:,0
118,위험도 6,File,0
119,위험도 6,System,0
120,위험도 6,error:,0
121,위험도 6,type=AVC,0
122,위험도 6,oscap:,0
123,위험도 6,E:,0
124,위험도 6,<YEAR>,0
125,위험도 6,NTFS,0
126,위험도 6,Trojaned,0
127,위험도 6,Windows,0
128,위험도 6,--MARK--:,0
129,위험도 6,The,0
130,위험도 6,juniper,0
131,위험도 6,OpenSCAP,0
132,위험도 6,type=USER_AVC,0
